,entity_id,type,subtype,class,mention_id,mention_type,ldctype,start,end,mention,relation_id,tense,modality,arg1_mention_id,arg1_mention,arg2_mention_id,arg2_mention
0,AFP_ENG_20030304.0250-E34,PHYS,Located,['SPC'],AFP_ENG_20030304.0250-R9-1,NOM,NOM,1162,1315,"Many of the victims were shown with hastily applied bandages, and
teams of nurses and doctors were seen in packed emergency rooms
attending to the wounded",AFP_ENG_20030304.0250-R9,Unspecified,Asserted,AFP_ENG_20030304.0250-E15-27,the wounded,AFP_ENG_20030304.0250-E21-26,packed emergency rooms
1,AFP_ENG_20030304.0250-E34,PHYS,Located,['SPC'],AFP_ENG_20030304.0250-R9-1,NOM,NOM,1162,1315,"Many of the victims were shown with hastily applied bandages, and
teams of nurses and doctors were seen in packed emergency rooms
attending to the wounded",AFP_ENG_20030304.0250-R9,Unspecified,Asserted,AFP_ENG_20030304.0250-E15-27,the wounded,AFP_ENG_20030304.0250-E21-26,packed emergency rooms
2,AFP_ENG_20030304.0250-E34,PHYS,Located,['SPC'],AFP_ENG_20030304.0250-R9-1,NOM,NOM,1162,1315,"Many of the victims were shown with hastily applied bandages, and
teams of nurses and doctors were seen in packed emergency rooms
attending to the wounded",AFP_ENG_20030304.0250-R9,Unspecified,Asserted,AFP_ENG_20030304.0250-E15-27,the wounded,AFP_ENG_20030304.0250-E21-26,packed emergency rooms
3,AFP_ENG_20030304.0250-E34,PHYS,Located,['SPC'],AFP_ENG_20030304.0250-R9-1,NOM,NOM,1162,1315,"Many of the victims were shown with hastily applied bandages, and
teams of nurses and doctors were seen in packed emergency rooms
attending to the wounded",AFP_ENG_20030304.0250-R9,Unspecified,Asserted,AFP_ENG_20030304.0250-E15-27,the wounded,AFP_ENG_20030304.0250-E21-26,packed emergency rooms
4,AFP_ENG_20030304.0250-E34,PHYS,Located,['SPC'],AFP_ENG_20030304.0250-R9-1,NOM,NOM,1162,1315,"Many of the victims were shown with hastily applied bandages, and
teams of nurses and doctors were seen in packed emergency rooms
attending to the wounded",AFP_ENG_20030304.0250-R9,Unspecified,Asserted,AFP_ENG_20030304.0250-E15-27,the wounded,AFP_ENG_20030304.0250-E21-26,packed emergency rooms
5,AFP_ENG_20030304.0250-E34,PHYS,Located,['SPC'],AFP_ENG_20030304.0250-R9-1,NOM,NOM,1162,1315,"Many of the victims were shown with hastily applied bandages, and
teams of nurses and doctors were seen in packed emergency rooms
attending to the wounded",AFP_ENG_20030304.0250-R9,Unspecified,Asserted,AFP_ENG_20030304.0250-E15-27,the wounded,AFP_ENG_20030304.0250-E21-26,packed emergency rooms
6,AFP_ENG_20030304.0250-E34,PHYS,Located,['SPC'],AFP_ENG_20030304.0250-R9-1,NOM,NOM,1162,1315,"Many of the victims were shown with hastily applied bandages, and
teams of nurses and doctors were seen in packed emergency rooms
attending to the wounded",AFP_ENG_20030304.0250-R9,Unspecified,Asserted,AFP_ENG_20030304.0250-E15-27,the wounded,AFP_ENG_20030304.0250-E21-26,packed emergency rooms
7,AFP_ENG_20030304.0250-E34,PHYS,Located,['SPC'],AFP_ENG_20030304.0250-R9-1,NOM,NOM,1162,1315,"Many of the victims were shown with hastily applied bandages, and
teams of nurses and doctors were seen in packed emergency rooms
attending to the wounded",AFP_ENG_20030304.0250-R9,Unspecified,Asserted,AFP_ENG_20030304.0250-E15-27,the wounded,AFP_ENG_20030304.0250-E21-26,packed emergency rooms
8,AFP_ENG_20030304.0250-E34,PHYS,Located,['SPC'],AFP_ENG_20030304.0250-R9-1,NOM,NOM,1162,1315,"Many of the victims were shown with hastily applied bandages, and
teams of nurses and doctors were seen in packed emergency rooms
attending to the wounded",AFP_ENG_20030304.0250-R9,Unspecified,Asserted,AFP_ENG_20030304.0250-E15-27,the wounded,AFP_ENG_20030304.0250-E21-26,packed emergency rooms
9,AFP_ENG_20030305.0918-E152,PER-SOC,Family,['SPC'],AFP_ENG_20030305.0918-R52-1,NOM,NOM,5523,5540,their elder sister,AFP_ENG_20030305.0918-R52,Unspecified,Asserted,AFP_ENG_20030305.0918-E138-202,their,AFP_ENG_20030305.0918-E139-203,their elder sister
